source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 21:00:01,Cách để có một giấc ngủ ngon 😴 #Bu,"2,3K","1,6K",674,36,3,15,1,399 bình luậ,2387947508109484,/story.php?story_fbid=2387947508109484&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 20:00:01,Đường vào tim em ôi băng giá  #Bu,"2,2K","1,6K",454,20,5,73,,414 bình luậ,2387946258109609,/story.php?story_fbid=2387946258109609&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 19:30:00,Có hẳn một thằng bạn ngáo quẩy qua ngày =)) #Punch,"7,3K",5K,"1,8K",132,17,313,8,1.472 bình luậ,2388562191381349,/story.php?story_fbid=2388562191381349&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 19:00:02,Thế giới thần tiên nào đây?  #Punch,"5,8K","4,3K",848,161,487,11,3,619 bình luậ,2388571524713749,/story.php?story_fbid=2388571524713749&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 18:30:00,Top 1 mãi cũng chán #Punch,"2,2K","1,1K",1K,7,9,62,,305 bình luậ,2388539748050260,/story.php?story_fbid=2388539748050260&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 18:00:01,Bạn có y tá chưa nà? #Bu,3K,"2,2K",541,33,8,201,2,1.038 bình luậ,2387945728109662,/story.php?story_fbid=2387945728109662&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Đâu Phải PUBG",Đâu Phải PUBG,2019-07-12 09:17:23,cảm giác ấy =))hú hồn cái l còn nguyên =)) #CK,610,283,301,1,1,23,1,134 bình luậ,2388551398049095,/story.php?story_fbid=2388551398049095&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 17:00:01,Đồng đội tôi :v #Bu,"3,5K","2,2K","1,1K",14,3,192,,653 bình luậ,2387944811443087,/story.php?story_fbid=2387944811443087&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 16:30:00,Khi cả map còn duy nhất 2 cái xe tăng :)) #Punch,"4,4K","3,2K","1,1K",53,24,4,1,240 bình luậ,2388491394721762,/story.php?story_fbid=2388491394721762&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 14:00:00,Chạy bo nhiều quá chai pin rồi sao? 😭 #Bu,"1,7K",1K,536,5,2,139,,344 bình luậ,2387943438109891,/story.php?story_fbid=2387943438109891&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 13:00:00,Nghe sướng ghê ý  #Bu,"1,9K","1,3K",515,16,3,40,1,297 bình luậ,2387942764776625,/story.php?story_fbid=2387942764776625&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 12:00:00,Còn lý do nào vào đây nữa =)) #Punch,"3,7K","1,6K","1,9K",11,10,133,2,773 bình luậ,2387929618111273,/story.php?story_fbid=2387929618111273&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 11:00:00,Nghĩ nó chán  #Bu,4K,"2,4K","1,3K",4,6,265,,764 bình luậ,2387942231443345,/story.php?story_fbid=2387942231443345&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-12 10:00:00,Ngại ghê :3 #Bu,4K,"2,6K","1,3K",27,7,45,,673 bình luậ,2387941558110079,/story.php?story_fbid=2387941558110079&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 21:00:01,Nhân phẩm -999  #Bu,"4,6K","2,7K",1K,31,11,793,11,1.563 bình luậ,2387905428113692,/story.php?story_fbid=2387905428113692&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 19:30:01,Cũng rất gì và này nọ #Punch,"8,7K","5,6K","2,8K",53,26,186,6,533 bình luậ,2387760284794873,/story.php?story_fbid=2387760284794873&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 18:30:00,Hack nhân phẩm hay gì =))) #Punch,10K,"5,6K","4,8K",39,17,273,,705 bình luậ,2387748048129430,/story.php?story_fbid=2387748048129430&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 18:00:00,Team game for fun đâuuu #Bu,"6,7K","5,3K","1,3K",70,5,23,,1.413 bình luậ,2387222168182018,/story.php?story_fbid=2387222168182018&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 17:00:01,It's me #BuLà tôi đây #Bu,"2,7K","2,1K",516,28,10,80,1,619 bình luậ,2387221798182055,/story.php?story_fbid=2387221798182055&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 16:30:00,Vì cơ duyên mà cả đời làm trâu làm ngựa =))) #Punch,"2,5K","1,3K",1K,108,4,25,2,387 bình luậ,2387725888131646,/story.php?story_fbid=2387725888131646&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Đâu Phải PUBG",Đâu Phải PUBG,2019-07-11 09:30:46,Ngáo lắm rồi =))gọi thằng bạn của bạn vào đây bảo nó chơi ít thôiii =))) #CK,325,179,137,2,,7,,78 bình luậ,2387742444796657,/story.php?story_fbid=2387742444796657&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 15:00:01,Sợ chiếc xe này vãi hồn #Bu,"2,3K","1,4K",787,8,2,123,2,335 bình luậ,2387221421515426,/story.php?story_fbid=2387221421515426&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 14:00:00,Khu hội chợ trong truyền thuyết nè #Bu,"6,8K","5,3K","1,2K",50,36,162,1,1.067 bình luậ,2387686294802272,/story.php?story_fbid=2387686294802272&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 12:00:00,Ngộ nghĩnh ghê  #Bu,"2,5K","1,7K",620,8,6,152,2,405 bình luậ,2387220371515531,/story.php?story_fbid=2387220371515531&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 11:00:01,Combo điện thoại cùi + wifi ké 😭 #Bu,"1,5K",1K,318,7,3,85,1,226 bình luậ,2387219908182244,/story.php?story_fbid=2387219908182244&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-11 10:00:01,Hack lắmmm 🙁 #Bu,"4,2K","2,9K",1K,13,3,269,3,391 bình luậ,2387217991515769,/story.php?story_fbid=2387217991515769&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Giáo Sư PUBG",Giáo Sư PUBG,2019-07-10 11:07:42,Nó lại hợp lý :3Các chị em đâu rùi <3,"3,1K","1,9K",1K,92,12,14,2,387 bình luậ,2387272264843675,/story.php?story_fbid=2387272264843675&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-10 21:00:01,Đúng vậy  #Bu,"3,8K","2,9K",710,63,13,16,1,430 bình luậ,2386547158249519,/story.php?story_fbid=2386547158249519&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-10 20:00:00,Cảm thấy tự hào về bản thân :3 #Bu,"3,6K","2,4K",1K,23,16,74,,521 bình luậ,2386546801582888,/story.php?story_fbid=2386546801582888&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-10 18:00:02,Chắc 99% là từng vào rồi #Bu,"3,5K","2,8K",526,17,7,79,,758 bình luậ,2386546338249601,/story.php?story_fbid=2386546338249601&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-10 17:00:00,"Đen thôi, đỏ cũng vậy 😭 #Bu","2,3K","1,3K",802,5,4,147,1,317 bình luậ,2386544338249801,/story.php?story_fbid=2386544338249801&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-10 15:30:00,Niềm vui nho nhỏ mỗi khi cầm lái :)) #Punch,"6,5K","3,8K","2,6K",68,7,21,1,918 bình luậ,2387029931534575,/story.php?story_fbid=2387029931534575&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-10 15:00:00,Siêu tốt bụng :3 #Bu,"2,9K",2K,718,72,10,16,,338 bình luậ,2386543778249857,/story.php?story_fbid=2386543778249857&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-10 12:00:04,Hoang mang quá #Bu,"2,8K","1,8K",777,8,4,163,,403 bình luậ,2386542074916694,/story.php?story_fbid=2386542074916694&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-10 11:00:00,Kiểm tra độ ghiền game :3 #Bu,"2,3K","1,5K",716,13,3,39,1,301 bình luậ,2386541514916750,/story.php?story_fbid=2386541514916750&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-10 10:00:01,Cay lắm #Bu,"2,2K","1,6K",599,8,6,37,4,254 bình luậ,2386540614916840,/story.php?story_fbid=2386540614916840&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Giáo Sư PUBG",Giáo Sư PUBG,2019-07-09 10:42:12,"Hông đúng nhaaaaEm có biết bắn PUBG đâu >""< Em còn đang sợ chết đây này >""<","2,5K","1,5K",947,15,8,33,,294 bình luậ,2386543818249853,/story.php?story_fbid=2386543818249853&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-09 21:00:00,Cô gái bị bot hạ gục tối qua :v #Bu,"3,7K","2,9K",666,60,4,21,,867 bình luậ,2385806274990274,/story.php?story_fbid=2385806274990274&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-09 20:30:00,Tuyển đối đi cùngggg #Punch,848,534,252,25,33,4,,126 bình luậ,2386364848267750,/story.php?story_fbid=2386364848267750&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-09 19:30:00,"""Anh hứa sẽ lo cho em cuộc sống đầy đủ"" =))) #Punch",12K,"5,8K","6,2K",60,29,326,,1.027 bình luậ,2386362698267965,/story.php?story_fbid=2386362698267965&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-09 19:03:31,Ủa ủa là sao??? #Bu,"3,8K","2,1K","1,4K",10,8,197,2,645 bình luậ,2386412818262953,/story.php?story_fbid=2386412818262953&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-09 18:00:01,Khoa học đã chứng minh  #Bu,"5,3K","4,1K",1K,39,29,169,9,1.016 bình luậ,2385804491657119,/story.php?story_fbid=2385804491657119&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Đâu Phải PUBG",Đâu Phải PUBG,2019-07-09 09:49:42,"Ai map Sanhok khônggggbootcamp ở đâu ae êiii, #CK","1,8K",1K,701,19,75,6,,282 bình luậ,2386342694936632,/story.php?story_fbid=2386342694936632&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-09 17:00:01,Con gái nhà ai mà giọng nghe ngọt thế không biết 🥰 #Bu,"3,4K","2,4K",932,47,7,18,,450 bình luậ,2385804081657160,/story.php?story_fbid=2385804081657160&id=1923466774557562
