,reactions,comments,post_id
302,10,Bình luậ,354489565217804
16,10,Bình luậ,354511888548905
219,10,1 bình luậ,333800467286714
325,10,Bình luậ,338186483514779
226,10,1 bình luậ,333377433995684
6,10,1 bình luậ,354919291841498
393,10,Bình luậ,354793771854050
649,10,Bình luậ,331905887476172
236,10,Bình luậ,333272624006165
332,9,Bình luậ,334429243890503
85,9,Bình luậ,341646666502094
368,9,Bình luậ,323598618306899
282,9,Bình luậ,330437804289647
527,9,Bình luậ,338088983524529
275,9,Bình luậ,330470554286372
655,9,Bình luậ,330470554286372
147,9,Bình luậ,338088983524529
279,9,Bình luậ,330454134288014
662,9,Bình luậ,330437804289647
190,9,Bình luậ,334429243890503
570,9,Bình luậ,334429243890503
659,9,Bình luậ,330454134288014
465,9,Bình luậ,341646666502094
267,8,1 bình luậ,330890377577723
216,8,1 bình luậ,333823957284365
162,8,1 bình luậ,337160686950692
477,8,Bình luậ,341174589882635
140,8,Bình luậ,338131890186905
542,8,1 bình luậ,337160686950692
520,8,Bình luậ,338131890186905
596,8,1 bình luậ,333823957284365
647,8,1 bình luậ,330890377577723
97,8,Bình luậ,341174589882635
210,7,Bình luậ,333853567281404
512,7,Bình luậ,338195140180580
621,7,Bình luậ,332895067377254
334,7,3 bình luậ,333889540611140
538,7,1 bình luậ,337602256906535
158,7,1 bình luậ,337602256906535
204,7,3 bình luậ,333889540611140
132,7,Bình luậ,338195140180580
353,7,Bình luậ,326856217981139
231,7,Bình luậ,333387250661369
611,7,Bình luậ,333387250661369
241,7,Bình luậ,332895067377254
93,7,Bình luậ,341197426547018
480,7,Bình luậ,341152286551532
657,7,Bình luậ,330467100953384
473,7,Bình luậ,341197426547018
100,7,Bình luậ,341152286551532
369,7,Bình luậ,322601668406594
584,7,3 bình luậ,333889540611140
277,7,Bình luậ,330467100953384
590,7,Bình luậ,333853567281404
391,6,Bình luậ,354852771848150
656,6,Bình luậ,330469354286492
668,6,Bình luậ,330365410963553
11,6,Bình luậ,354852771848150
288,6,Bình luậ,330365410963553
276,6,Bình luậ,330469354286492
228,6,Bình luậ,333416377325123
193,6,Bình luậ,334384687228292
573,6,Bình luậ,334384687228292
608,6,Bình luậ,333416377325123
213,6,1 bình luậ,333843670615727
593,6,1 bình luậ,333843670615727
387,5,1 bình luậ,354894148510679
215,5,1 bình luậ,333826007284160
7,5,1 bình luậ,354894148510679
264,5,Bình luậ,330947200905374
271,5,Bình luậ,330516610948433
651,5,Bình luậ,330516610948433
592,5,1 bình luậ,333847007282060
595,5,1 bình luậ,333826007284160
644,5,Bình luậ,330947200905374
